,Close_target
2021-02-08,1.3814
2021-02-09,1.3828
2021-02-10,1.3815
2021-02-11,1.3844
2021-02-12,1.3863666666666667
2021-02-13,1.3883333333333334
2021-02-14,1.3903
2021-02-15,1.3901
2021-02-16,1.3853
2021-02-17,1.3971
2021-02-18,1.4014
2021-02-19,1.4029666666666667
2021-02-20,1.4045333333333332
2021-02-21,1.4061
2021-02-22,1.411
2021-02-23,1.4139
2021-02-24,1.4013
2021-02-25,1.3932
2021-02-26,1.3928666666666667
2021-02-27,1.3925333333333334
2021-02-28,1.3922
2021-03-01,1.3953
2021-03-02,1.3953
2021-03-03,1.3894
2021-03-04,1.3841
2021-03-05,1.3835333333333335
2021-03-06,1.3829666666666667
2021-03-07,1.3824
2021-03-08,1.3893
2021-03-09,1.393
2021-03-10,1.399
2021-03-11,1.3922
2021-03-12,1.3912333333333333
2021-03-13,1.3902666666666668
2021-03-14,1.3893
2021-03-15,1.3887
2021-03-16,1.3963
2021-03-17,1.392
2021-03-18,1.3868
2021-03-19,1.3866333333333334
2021-03-20,1.3864666666666667
2021-03-21,1.3863
2021-03-22,1.375
2021-03-23,1.3683
2021-03-24,1.3732
2021-03-25,1.3787
2021-03-26,1.3777666666666666
2021-03-27,1.3768333333333334
2021-03-28,1.3759
2021-03-29,1.3739
2021-03-30,1.3779
2021-03-31,1.383
2021-04-01,1.3829
2021-04-02,1.3851666666666667
2021-04-03,1.3874333333333333
2021-04-04,1.3897
2021-04-05,1.3823
2021-04-06,1.3734
2021-04-07,1.3733
2021-04-08,1.3708
2021-04-09,1.3718666666666668
2021-04-10,1.3729333333333333
2021-04-11,1.374
2021-04-12,1.3748
2021-04-13,1.3778
2021-04-14,1.3786
2021-04-15,1.383
2021-04-16,1.3881000000000001
2021-04-17,1.3932
2021-04-18,1.3983
2021-04-19,1.3936
2021-04-20,1.3929
2021-04-21,1.3836
2021-04-22,1.3874
2021-04-23,1.3881333333333332
2021-04-24,1.3888666666666667
2021-04-25,1.3896
2021-04-26,1.3912
2021-04-27,1.3932
2021-04-28,1.394
2021-04-29,1.3814
2021-04-30,1.3845666666666667
2021-05-01,1.3877333333333333
2021-05-02,1.3909
2021-05-03,1.3885
2021-05-04,1.3903
2021-05-05,1.3885
2021-05-06,1.3972
2021-05-07,1.4021333333333332
2021-05-08,1.4070666666666667
