,Open,High,Low,Close,Close_frac_diff,Close_frac_diff_d,Close_SMA,Close_slope,Close_volatility,Close_regime,Close_regime_label,Close_trend,Close_detail_1,Close_detail_2,Close_detail_3,Close_details
2020-03-28,1.1065333333333334,1.1146333333333334,1.0972,1.1108666666666667,0.011200000000000099,1.0,1.1006033333333334,-0.12628611442581095,0.02299864196346732,0,sideways,1.1012855783167814,0.008313432565810778,-0.001439471868754135,-0.0026290789526783225,0.00424488174437832
2020-03-29,1.1100666666666665,1.1145666666666667,1.0991,1.1077333333333335,-0.0031333333333334323,1.0,1.0987550000000001,-0.5898984415643072,0.020631870183080457,-1,downtrend,1.097999874799886,0.007910741781258352,-0.0025063460460636993,-0.00042620568050462355,0.004978190054690029
2020-03-30,1.1136,1.1145,1.101,1.1046,-0.0031333333333332103,1.0,1.0975899999999998,-0.9082291337516479,0.019527842171706205,-1,downtrend,1.0946690065749825,0.0066740228345679945,0.0010257991370038481,0.0011957294649191338,0.008895551436490977
2020-03-31,1.1049,1.1056,1.0926,1.1029,-0.0031333333333334323,1.0,1.0964,-1.2314538722783097,0.018350215512542484,-1,downtrend,1.0911451443305007,0.0038720397253024508,0.001844364178279373,0.0005311714534456795,0.006247575357027504
2020-04-01,1.1031,1.104,1.0903,1.0962,-0.0017000000000000348,1.0,1.095295,-1.4818712503485654,0.01761262597023181,-1,downtrend,1.0878023223908302,-0.0004796680328098086,-0.000734433281684487,-0.0006615482340828225,-0.0018756495485771183
2020-04-02,1.0964,1.097,1.0821,1.0856,-0.006699999999999928,1.0,1.09405,-1.7083458737809587,0.017359492743283984,-1,downtrend,1.0853047344670739,-0.003995518456603014,-0.001147219579907682,-0.0009882210763363375,-0.006130959112847034
2020-04-03,1.0858,1.0865,1.0772,1.0808,-0.010600000000000165,1.0,1.0924383333333334,-1.9770205014932318,0.016996801470687294,-1,downtrend,1.083922247640205,-0.005497157175171886,0.0007128958729033156,0.0006380035694364031,-0.004146257732832167
2020-04-04,1.0843333333333334,1.0855333333333332,1.0770666666666666,1.0802333333333334,-0.0047999999999999154,1.0,1.0906716666666667,-2.26868819015702,0.016287796439836195,-1,downtrend,1.0841612712476738,-0.005298532095168253,0.0009187478624470984,0.00109534699539662,-0.0032844372373245353
2020-04-05,1.0828666666666666,1.0845666666666667,1.0769333333333333,1.0796666666666666,-0.0005666666666666043,1.0,1.0887499999999999,-2.5727069351230702,0.01510575778068425,-1,downtrend,1.0859638998020593,-0.00362099399674291,-0.0005503051613208356,-0.00011482034828656903,-0.004286119506350314
2020-04-06,1.0814,1.0836,1.0768,1.0791,-0.0005666666666668263,1.0,1.087725,-2.715357061404089,0.015026085991833277,-1,downtrend,1.0880948499158902,-0.0018748008065951425,-0.0010018297270918684,-0.002692600643995768,-0.005569231177682779
2020-04-07,1.0793,1.0926,1.0784,1.0889,-0.0005666666666666043,1.0,1.087605,-2.689100441994896,0.015005602365091233,-1,downtrend,1.0897933539852391,-0.0011651936220878514,-0.00019764974585635865,0.003681780617796376,0.002318937249852166
2020-04-08,1.0891,1.0904,1.0829,1.0856,0.009800000000000031,1.0,1.088435,-2.468671173895698,0.014367891733498886,-1,downtrend,1.0912190392429721,-0.0005917053263725773,0.0006057536339277047,-0.0028305106172953993,-0.002816462309740272
2020-04-09,1.0857,1.0953,1.0841,1.0927,-0.0033000000000000806,1.0,1.0896,-2.2036197944325653,0.0136709535424666,-1,downtrend,1.0922135411543383,0.0001317739170457793,0.0009997226626526758,0.0014669124494722133,0.0025984090291706684
2020-04-10,1.093,1.0953,1.0919,1.0935,0.007100000000000106,1.0,1.09076,-1.9263881458570276,0.012910241639153424,-1,downtrend,1.0927263396985376,0.0006998315634624776,2.9810661645339595e-05,0.0001549622659628845,0.0008846044910707017
2020-04-11,1.0934,1.0957999999999999,1.091,1.0927666666666667,0.0007999999999999119,1.0,1.0918383333333335,-1.643717973548564,0.01206340595180056,-1,downtrend,1.0928488350788543,0.001304382989982905,-0.00201301752704549,-0.000689315256978913,-0.0013979497940414978
2020-04-12,1.0938,1.0963,1.0901,1.0920333333333332,-0.0007333333333332526,1.0,1.092835,-1.3539922461377474,0.01113448609958247,-1,downtrend,1.092099798030748,0.0014809750749284361,-0.0011914013236911762,-0.00010686720845844913,0.00018270654277881076
2020-04-13,1.0942,1.0968,1.0892,1.0913,-0.0007333333333334746,1.0,1.0934650000000001,-1.142301781032451,0.010638012362165382,-1,downtrend,1.0904471011123094,0.0010495364138654421,0.002720893191818665,-0.0010893717819852845,0.0026810578236988224
2020-04-14,1.0914,1.0988,1.0904,1.0979,-0.0007333333333332526,1.0,1.09396,-0.9367882967114882,0.010600599122428155,-1,downtrend,1.0886413894222862,0.0008385205691374625,0.0029825005667895874,0.0036824692820067637,0.007503490417933814
2020-04-15,1.0981,1.0991,1.0857,1.0907,0.006600000000000161,1.0,1.0933549999999999,-0.876230712045134,0.010413156741995836,-1,downtrend,1.0870611937577184,0.0011546203455617345,-0.001492044854940206,-0.001762410558213154,-0.0020998350675916254
2020-04-16,1.0911,1.0913,1.0817,1.0835,-0.007200000000000095,1.0,1.09183,-0.9251151289671022,0.009416210360007005,-1,downtrend,1.085717810548732,0.0017167765268562782,-0.003200302974630357,-0.0032237692483401453,-0.004707295696114224
2020-04-17,1.0835,1.0894,1.0812,1.0876,-0.007200000000000095,1.0,1.0906666666666667,-0.9028381402927499,0.008313168585435462,-1,downtrend,1.0847494798066475,0.0023661106832618827,-0.0005374044228724648,0.0033657158990419126,0.00519442215943133
